iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_weak_aces_visits,hand_category_medium_pairs_visits,hand_category_suited_gappers_visits,hand_category_trash_visits,hand_category_premium_pairs_visits,hand_category_suited_broadway_visits,hand_category_suited_connectors_visits,hand_category_small_pairs_visits,hand_category_medium_aces_visits
2600,0.46804141998291016,11.942525625228882,1.485642352689884,38.475,330,273,57,0,0,0,330,100.0,236.0,236.0,237.0,238.0,237.0,238.0,233.0,235.0,236.0,238.0,237.0
2700,0.5160186290740967,12.458544254302979,1.5444632982180189,38.475,330,263,67,0,0,0,330,100.0,244.0,246.0,246.0,245.0,247.0,245.0,247.0,246.0,246.0,245.0,244.0
2800,0.4714200496673584,12.929964303970337,1.59996285750574,38.475,330,252,78,0,0,0,330,100.0,255.0,255.0,255.0,255.0,256.0,254.0,253.0,256.0,253.0,253.0,256.0
2900,0.4502882957458496,13.380252599716187,1.6427804803859503,38.475,330,243,87,0,0,0,330,100.0,264.0,262.0,263.0,264.0,263.0,265.0,264.0,264.0,265.0,263.0,264.0
3000,0.4806985855102539,13.86095118522644,1.6671878288994353,38.475,330,233,97,0,0,0,330,100.0,273.0,273.0,274.0,273.0,273.0,272.0,273.0,273.0,272.0,274.0,271.0
3100,0.4689173698425293,14.32986855506897,1.6885836778388656,38.475,330,222,108,0,0,0,330,100.0,281.0,281.0,282.0,280.0,283.0,282.0,283.0,282.0,283.0,283.0,281.0
3200,0.49070000648498535,14.820568561553955,1.7151943022864355,38.475,330,210,120,0,0,0,330,100.0,292.0,290.0,290.0,291.0,290.0,292.0,291.0,291.0,292.0,292.0,290.0
3300,0.5369863510131836,15.357554912567139,1.7906279400770815,46.95,330,194,136,0,0,0,330,100.0,300.0,300.0,299.0,301.0,299.0,300.0,300.0,300.0,301.0,300.0,301.0
3400,0.43569493293762207,15.79324984550476,1.8201626167102303,46.95,330,179,151,0,0,0,330,100.0,310.0,310.0,307.0,310.0,309.0,310.0,311.0,309.0,308.0,309.0,308.0
3500,0.45065832138061523,16.243908166885376,1.88567390751815,46.95,330,164,166,0,0,0,330,100.0,318.0,319.0,318.0,316.0,320.0,317.0,319.0,318.0,318.0,320.0,318.0
3600,0.42670464515686035,16.670612812042236,1.9258752087619024,46.95,330,154,176,0,0,0,330,100.0,328.0,328.0,328.0,327.0,328.0,327.0,327.0,328.0,327.0,326.0,327.0
3700,0.4499208927154541,17.12053370475769,1.9665639713915366,42.25,330,144,186,0,0,0,330,100.0,337.0,335.0,337.0,336.0,337.0,336.0,336.0,337.0,337.0,337.0,336.0
3800,0.48468756675720215,17.605221271514893,2.020322722406878,42.25,330,126,204,0,0,0,330,100.0,344.0,346.0,346.0,346.0,346.0,345.0,344.0,344.0,347.0,347.0,346.0
3900,0.4302644729614258,18.03548574447632,2.0715497286122,49.225,330,118,212,0,0,0,330,100.0,354.0,353.0,355.0,355.0,356.0,355.0,354.0,353.0,356.0,353.0,357.0
4000,0.48685359954833984,18.522339344024658,2.1425633123705103,57.7,330,107,223,0,0,0,330,100.0,365.0,362.0,363.0,364.0,364.0,363.0,364.0,365.0,364.0,364.0,363.0
4100,0.4652681350708008,18.98760747909546,2.193425719390151,57.7,330,101,229,0,0,0,330,100.0,372.0,372.0,372.0,373.0,373.0,373.0,373.0,373.0,373.0,374.0,373.0
4200,0.4607963562011719,19.44840383529663,2.225615315935348,57.7,330,87,243,0,0,0,330,100.0,380.0,382.0,383.0,383.0,382.0,382.0,382.0,380.0,382.0,382.0,383.0
4300,0.4660978317260742,19.914501667022705,2.2620576713102385,57.7,330,81,249,0,0,0,330,100.0,392.0,390.0,392.0,391.0,392.0,390.0,390.0,390.0,391.0,392.0,391.0
4400,0.4562656879425049,20.37076735496521,2.3000069461749773,62.050000000000004,330,76,254,0,0,0,330,100.0,400.0,401.0,400.0,399.0,401.0,400.0,400.0,399.0,400.0,401.0,400.0
4500,0.44623494148254395,20.817002296447754,2.337166808965157,62.050000000000004,330,67,263,0,0,0,330,100.0,411.0,409.0,409.0,407.0,411.0,410.0,409.0,409.0,410.0,410.0,406.0
4600,0.4373281002044678,21.25433039665222,2.3557582669999135,62.050000000000004,330,58,272,0,0,0,330,100.0,417.0,419.0,418.0,419.0,418.0,419.0,417.0,417.0,421.0,418.0,418.0
4700,0.4577610492706299,21.71209144592285,2.4031306810123954,64.325,330,52,278,0,0,0,330,100.0,427.0,427.0,429.0,426.0,428.0,425.0,427.0,428.0,429.0,427.0,428.0
4800,0.4078798294067383,22.11997127532959,2.433244747498682,64.325,330,47,283,0,0,0,330,100.0,436.0,437.0,438.0,438.0,436.0,436.0,436.0,434.0,437.0,438.0,435.0
4900,0.49122023582458496,22.611191511154175,2.463742839364448,64.325,330,42,288,0,0,0,330,100.0,446.0,445.0,445.0,443.0,445.0,448.0,444.0,447.0,446.0,447.0,445.0
