iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
690,2.2586231231689453,155.88107991218567,0.4013172611433807,14.099392712550607,156,150,6,0,0,0,220,70.91,63,62,62,63,63,63,63,63,63,63,62.0
700,2.2775638103485107,158.15864372253418,0.40223852031347407,14.099392712550607,157,151,6,0,0,0,220,71.36,64,63,64,64,63,64,63,64,63,64,64.0
710,2.2980968952178955,160.45674061775208,0.4068823820063985,14.099392712550607,157,151,6,0,0,0,220,71.36,64,65,65,65,64,64,65,65,64,64,65.0
720,2.294651746749878,162.75139236450195,0.41056581317674057,14.099392712550607,157,151,6,0,0,0,220,71.36,66,66,66,65,65,65,66,66,65,65,65.0
730,2.2913382053375244,165.04273056983948,0.4132417576526405,14.099392712550607,157,151,6,0,0,0,220,71.36,67,67,66,66,66,66,67,66,66,66,67.0
740,2.3747689723968506,167.41749954223633,0.4163822984103039,14.099392712550607,158,152,6,0,0,0,220,71.82,67,67,68,67,67,67,67,68,68,67,67.0
750,2.4286367893218994,169.84613633155823,0.4172351681752671,14.099392712550607,158,152,6,0,0,0,220,71.82,68,68,68,68,69,68,68,68,68,68,69.0
760,2.3975846767425537,172.24372100830078,0.42062764272304254,14.099392712550607,159,153,6,0,0,0,220,72.27,70,69,69,69,69,69,69,69,69,69,69.0
770,2.2924768924713135,174.5361979007721,0.4259150492154401,14.099392712550607,159,153,6,0,0,0,220,72.27,70,70,70,70,70,70,70,70,70,70,70.0
780,2.347184896469116,176.8833827972412,0.4284393117221261,14.099392712550607,160,154,6,0,0,0,220,72.73,71,71,70,71,71,71,71,71,71,71,71.0
790,2.3879711627960205,179.27135396003723,0.4305022278533467,14.099392712550607,160,153,7,0,0,0,220,72.73,72,72,72,71,72,72,72,72,71,72,72.0
800,2.274981737136841,181.54633569717407,0.4411123070175318,14.099392712550607,160,152,8,0,0,0,220,72.73,73,72,73,72,73,73,73,73,73,73,72.0
