scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
trash|BTN|very_deep|high|deep|opp_raise_high_3bet,trash,BTN,very_deep,high,deep,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|high|deep|standard,offsuit_broadway,BTN,very_deep,high,deep,standard,1,0.0,0.0,0.0,0.0,1.0
small_pairs|BTN|very_deep|high|deep|standard,small_pairs,BTN,very_deep,high,deep,standard,1,1.0,0.0,0.0,0.0,0.0
premium_aces|BB|deep|high|very_deep|opp_call_low,premium_aces,BB,deep,high,very_deep,opp_call_low,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|very_deep|high|deep|opp_raise_mid,trash,BTN,very_deep,high,deep,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
premium_aces|BB|deep|high|very_deep|opp_raise_mid_3bet,premium_aces,BB,deep,high,very_deep,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|deep|high|very_deep|opp_raise_high,trash,BTN,deep,high,very_deep,opp_raise_high,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|high|deep|opp_raise_mid_3bet,trash,BB,very_deep,high,deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|very_deep|high|medium|standard,trash,BTN,very_deep,high,medium,standard,1,0.0,0.0,0.0,1.0,0.0
weak_aces|BB|medium|high|very_deep|opp_raise_mid,weak_aces,BB,medium,high,very_deep,opp_raise_mid,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|very_deep|high|medium|opp_raise_high_3bet,trash,BTN,very_deep,high,medium,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BTN|very_deep|high|ultra_short|standard,weak_aces,BTN,very_deep,high,ultra_short,standard,1,1.0,0.0,0.0,0.0,0.0
premium_aces|BTN|very_deep|high|ultra_short|standard,premium_aces,BTN,very_deep,high,ultra_short,standard,1,0.0,0.0,0.0,0.0,1.0
trash|BB|ultra_short|high|very_deep|opp_raise_high,trash,BB,ultra_short,high,very_deep,opp_raise_high,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|ultra_short|high|very_deep|standard,trash,BTN,ultra_short,high,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|high|ultra_short|standard,trash,BTN,very_deep,high,ultra_short,standard,2,0.5,0.0,0.0,0.0,0.5
suited_gappers|BB|ultra_short|high|very_deep|opp_raise_high,suited_gappers,BB,ultra_short,high,very_deep,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
